,method,n,d,q,p,time
90,KeyGen,2,2,32767,35184372088831,0.00023297079969779587
91,Encryption,2,2,32767,35184372088831,8.341159991687164e-05
92,Decrypt,2,2,32767,35184372088831,3.717280051205307e-05
93,Addition,2,2,32767,35184372088831,1.59764000272844e-05
94,Multiplication,2,2,32767,35184372088831,0.00028619580043596213
95,KeyGen,2,4,32767,35184372088831,0.00027382359985494986
96,Encryption,2,4,32767,35184372088831,0.00014408900024136527
97,Decrypt,2,4,32767,35184372088831,6.233520034584216e-05
98,Addition,2,4,32767,35184372088831,2.3346399393631147e-05
99,Multiplication,2,4,32767,35184372088831,0.0005480669999087695
100,KeyGen,2,6,32767,35184372088831,0.0003584213998692576
101,Encryption,2,6,32767,35184372088831,0.00016928940021898597
102,Decrypt,2,6,32767,35184372088831,6.0045199643354866e-05
103,Addition,2,6,32767,35184372088831,2.1394599752966314e-05
104,Multiplication,2,6,32767,35184372088831,0.0006634614001086447
105,KeyGen,2,8,32767,35184372088831,0.00047192759957397356
106,Encryption,2,8,32767,35184372088831,0.00016995940022752621
107,Decrypt,2,8,32767,35184372088831,6.698540018987842e-05
108,Addition,2,8,32767,35184372088831,1.763420004863292e-05
109,Multiplication,2,8,32767,35184372088831,0.0006183204000990372
110,KeyGen,2,10,32767,35184372088831,0.0005715676001273095
111,Encryption,2,10,32767,35184372088831,0.00024777500002528543
112,Decrypt,2,10,32767,35184372088831,0.00011195619954378344
113,Addition,2,10,32767,35184372088831,2.7206599770579488e-05
114,Multiplication,2,10,32767,35184372088831,0.0008979762002127245
115,KeyGen,2,12,32767,35184372088831,0.0006980862002819776
116,Encryption,2,12,32767,35184372088831,0.0002653231997101102
117,Decrypt,2,12,32767,35184372088831,8.943979992181994e-05
118,Addition,2,12,32767,35184372088831,1.9244400027673693e-05
119,Multiplication,2,12,32767,35184372088831,0.0009475272003328427
120,KeyGen,2,14,32767,35184372088831,0.0008060302003286779
121,Encryption,2,14,32767,35184372088831,0.0003018861993041355
122,Decrypt,2,14,32767,35184372088831,0.00010549819999141618
123,Addition,2,14,32767,35184372088831,1.9142399833071976e-05
124,Multiplication,2,14,32767,35184372088831,0.001153293200331973
125,KeyGen,2,16,32767,35184372088831,0.0010001782000472303
126,Encryption,2,16,32767,35184372088831,0.0003757595994102303
127,Decrypt,2,16,32767,35184372088831,0.00012562460033223034
128,Addition,2,16,32767,35184372088831,2.0306400256231427e-05
129,Multiplication,2,16,32767,35184372088831,0.0013910280002164654
130,KeyGen,2,18,32767,35184372088831,0.0011348609994456637
131,Encryption,2,18,32767,35184372088831,0.0004183163997367956
132,Decrypt,2,18,32767,35184372088831,0.00013796479979646392
133,Addition,2,18,32767,35184372088831,2.0112399943172933e-05
134,Multiplication,2,18,32767,35184372088831,0.0016453952004667372
135,KeyGen,2,20,32767,35184372088831,0.0013091706001432612
136,Encryption,2,20,32767,35184372088831,0.0005448210002214182
137,Decrypt,2,20,32767,35184372088831,0.0002374007999605965
138,Addition,2,20,32767,35184372088831,3.0044600134715437e-05
139,Multiplication,2,20,32767,35184372088831,0.0020081968003069052
140,KeyGen,2,22,32767,35184372088831,0.0014920182002242655
141,Encryption,2,22,32767,35184372088831,0.000561385400214931
142,Decrypt,2,22,32767,35184372088831,0.00018390580007690004
143,Addition,2,22,32767,35184372088831,2.178840004489757e-05
144,Multiplication,2,22,32767,35184372088831,0.0022334212000714613
145,KeyGen,2,24,32767,35184372088831,0.0017427753999072592
146,Encryption,2,24,32767,35184372088831,0.0006336008002108429
147,Decrypt,2,24,32767,35184372088831,0.00021224020019872114
148,Addition,2,24,32767,35184372088831,2.149639985873364e-05
149,Multiplication,2,24,32767,35184372088831,0.0025439933997404296
150,KeyGen,2,26,32767,35184372088831,0.0019213587998820002
151,Encryption,2,26,32767,35184372088831,0.0007226845998957287
152,Decrypt,2,26,32767,35184372088831,0.0002351467999687884
153,Addition,2,26,32767,35184372088831,2.2966400138102472e-05
154,Multiplication,2,26,32767,35184372088831,0.00291216500045266
155,KeyGen,2,28,32767,35184372088831,0.0024373513995669784
156,Encryption,2,28,32767,35184372088831,0.0008172083995305002
157,Decrypt,2,28,32767,35184372088831,0.00026348519968451
158,Addition,2,28,32767,35184372088831,2.2356400586431845e-05
159,Multiplication,2,28,32767,35184372088831,0.003352621800149791
