,method,n,d,q,p,depth,error,is_wrong
1480,add,1,512,15,3,52,0.21615564823150635,False
1481,add,1,512,15,3,53,0.2201392650604248,False
1482,add,1,512,15,3,54,0.22448992729187012,False
1483,add,1,512,15,3,55,0.22844910621643066,False
1484,add,1,512,15,3,56,0.23231935501098633,False
1485,add,1,512,15,3,57,0.2355867624282837,False
1486,add,1,512,15,3,58,0.23926293849945068,False
1487,add,1,512,15,3,59,0.2437535524368286,False
1488,add,1,512,15,3,60,0.24756395816802979,False
1489,add,1,512,15,3,61,0.2513749599456787,False
1490,add,1,512,15,3,62,0.25494277477264404,True
