,method,n,d,q,p,time
110,KeyGen,8,8,60,4,0.028903730399906635
111,Encryption,8,8,60,4,0.0026584387000184507
112,Decrypt,8,8,60,4,0.00032957959992927497
113,Addition,8,8,60,4,5.8572200214257467e-05
114,Multiplication,8,8,60,4,0.028952306299470366
115,KeyGen,8,8,60,5,0.034015222800371704
116,Encryption,8,8,60,5,0.003044005399715388
117,Decrypt,8,8,60,5,0.0003416108003875706
118,Addition,8,8,60,5,7.794949997332878e-05
119,Multiplication,8,8,60,5,0.03541665360025945
120,KeyGen,8,8,60,3,0.02827005580038531
121,Encryption,8,8,60,3,0.002706218700041063
122,Decrypt,8,8,60,3,0.0003303115001472179
123,Addition,8,8,60,3,6.110419999458828e-05
124,Multiplication,8,8,60,3,0.029520254600356566
125,KeyGen,8,8,60,2,0.027440666400070767
126,Encryption,8,8,60,2,0.0026066788006573914
127,Decrypt,8,8,60,2,0.0003139651998935733
128,Addition,8,8,60,2,5.205099951126613e-05
129,Multiplication,8,8,60,2,0.03243501750039286
130,KeyGen,8,8,60,1,0.027980881099938414
131,Encryption,8,8,60,1,0.0026965475000906734
132,Decrypt,8,8,60,1,0.000332104600238381
133,Addition,8,8,60,1,5.8259200159227476e-05
134,Multiplication,8,8,60,1,0.029439072999957717
135,KeyGen,8,8,58,7,0.029601661299966508
136,Encryption,8,8,58,7,0.0026118317997315898
137,Decrypt,8,8,58,7,0.0003255495001212694
138,Addition,8,8,58,7,5.844620027346536e-05
139,Multiplication,8,8,58,7,0.029554390300472733
140,KeyGen,8,8,58,9,0.030914242300059413
141,Encryption,8,8,58,9,0.002629320200503571
142,Decrypt,8,8,58,9,0.00027521649972186426
143,Addition,8,8,58,9,5.4316100431606174e-05
144,Multiplication,8,8,58,9,0.03231019989980268
145,KeyGen,8,8,58,4,0.02883555609951145
146,Encryption,8,8,58,4,0.0026553306001005695
147,Decrypt,8,8,58,4,0.0003403096998226829
148,Addition,8,8,58,4,5.9310199867468326e-05
149,Multiplication,8,8,58,4,0.02909939429955557
150,KeyGen,8,8,58,8,0.032824991200322985
151,Encryption,8,8,58,8,0.0028454544000851454
152,Decrypt,8,8,58,8,0.00033973069948842747
153,Addition,8,8,58,8,5.974410014459863e-05
154,Multiplication,8,8,58,8,0.03501627360019484
155,KeyGen,8,8,58,3,0.029490298999735386
156,Encryption,8,8,58,3,0.0027973304997431113
157,Decrypt,8,8,58,3,0.0003230893998988904
158,Addition,8,8,58,3,4.8563999735051765e-05
159,Multiplication,8,8,58,3,0.02925853549968451
160,KeyGen,8,8,58,5,0.030857388200092827
161,Encryption,8,8,58,5,0.002501719600695651
162,Decrypt,8,8,58,5,0.0002698792995943222
163,Addition,8,8,58,5,4.4111900206189605e-05
164,Multiplication,8,8,58,5,0.03223508049995871
165,KeyGen,8,8,58,2,0.028205176600022242
166,Encryption,8,8,58,2,0.0026509675997658634
167,Decrypt,8,8,58,2,0.0003338816000905354
168,Addition,8,8,58,2,5.7198099966626614e-05
169,Multiplication,8,8,58,2,0.028430739999748766
170,KeyGen,8,8,58,6,0.03138992669992149
171,Encryption,8,8,58,6,0.0028477874999225604
